symbol,shortName,longName,longBusinessSummary,totalRevenue,beta,overallRisk,price_history,catholic_values,esg_score,env_score,gov_score,soc_score,strongest_principle,weakest_principle,vice_products,ethical_concerns,military_involvement,health_impact
BAC,Bank of America Corporation,Bank of America Corporation,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. Its Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, noninterest-and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The company's Global Wealth & Investment Management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. Its Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options and merchant services; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. The company's Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. The company was founded in 1784 and is based in Charlotte, North Carolina.",94187003904,1.399,7,"{'Close': {0: 31.799999237060547, 1: 31.729999542236328, 2: 32.220001220703125, 3: 32.54999923706055, 4: 32.77000045776367, 5: 32.97999954223633, 6: 33.38999938964844, 7: 33.43000030517578, 8: 33.61000061035156, 9: 34.790000915527344, 10: 34.0099983215332, 11: 33.54999923706055, 12: 33.470001220703125, 13: 32.9900016784668, 14: 33.040000915527344, 15: 33.18000030517578, 16: 33.119998931884766, 17: 33.06999969482422, 18: 33.619998931884766, 19: 32.75, 20: 33.130001068115234, 21: 34.06999969482422, 22: 34.09000015258789}}",No,59.0,76.0,56.0,48.0,environmentScore,socialScore,,,,
BK,The Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,"The Bank of New York Mellon Corporation provides a range of financial products and services in the United States and internationally. The company operates through Securities Services, Market and Wealth Services, Investment and Wealth Management, and other segments. The Securities Services segment offers custody, trust and depositary, accounting, exchange-traded funds, middle-office solutions, transfer agency, services for private equity and real estate funds, foreign exchange, securities lending, liquidity/lending services, and data analytics. This segment also provides trustee, paying agency, fiduciary, escrow and other financial, issuer, and support services for brokers and investors. The Market and Wealth Services segment offers clearing and custody, investment, wealth and retirement solutions, technology and enterprise data management, trading, and prime brokerage services. This segment also provides integrated cash management solutions, including payments, foreign exchange, liquidity management, receivables processing and payables management, and trade finance and processing services. The Investment and Wealth Management segment offers investment management strategies and distribution of investment products, investment management, custody, wealth and estate planning, private banking, investment, and information management services. The Other segment engages in the provision of leasing, corporate treasury, derivative and other trading, corporate and bank-owned life insurance, renewable energy investment, and business exit services. It serves central banks and sovereigns, financial institutions, asset managers, insurance companies, corporations, local authorities and high net-worth individuals, and family offices. The company was founded in 1784 and is headquartered in New York, New York.",17383000064,1.108,1,"{'Close': {0: 54.43830871582031, 1: 54.220001220703125, 2: 55.040000915527344, 3: 54.83000183105469, 4: 54.810001373291016, 5: 54.90999984741211, 6: 55.34000015258789, 7: 55.33000183105469, 8: 55.900001525878906, 9: 56.040000915527344, 10: 55.459999084472656, 11: 55.5, 12: 55.630001068115234, 13: 55.0099983215332, 14: 55.060001373291016, 15: 55.27000045776367, 16: 55.11000061035156, 17: 55.220001220703125, 18: 55.619998931884766, 19: 53.88999938964844, 20: 54.47999954223633, 21: 55.290000915527344, 22: 55.150001525878906}}",No,63.0,65.0,64.0,61.0,environmentScore,socialScore,,,,
BBWI,"Bath & Body Works, Inc.","Bath & Body Works, Inc.","Bath & Body Works, Inc. operates a specialty retailer of home fragrance, body care, and soaps and sanitizer products. It sells its products under the Bath & Body Works, White Barn, and other brand names through retail stores and e-commerce sites located in the United States and Canada, as well as through international stores operated by partners under franchise, license, and wholesale arrangements. The company was formerly known as L Brands, Inc. and changed its name to Bath & Body Works, Inc. in August 2021. Bath & Body Works, Inc. was founded in 1963 and is headquartered in Columbus, Ohio.",7405000192,1.841,8,"{'Close': {0: 42.810001373291016, 1: 42.54999923706055, 2: 42.43000030517578, 3: 42.040000915527344, 4: 41.439998626708984, 5: 41.13999938964844, 6: 41.65999984741211, 7: 42.439998626708984, 8: 43.31999969482422, 9: 43.650001525878906, 10: 42.65999984741211, 11: 43.5099983215332, 12: 43.45000076293945, 13: 42.790000915527344, 14: 43.13999938964844, 15: 44.09000015258789, 16: 44.369998931884766, 17: 44.720001220703125, 18: 44.7400016784668, 19: 43.27000045776367, 20: 43.880001068115234, 21: 45.5, 22: 45.400001525878906}}",No,16.12,2.48,5.87,7.78,socialScore,environmentScore,,,,
BAX,Baxter International Inc.,Baxter International Inc.,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide. The company operates through four segments: Medical Products and Therapies, Healthcare Systems and Technologies, Pharmaceuticals, and Kidney Care. The company offers sterile intravenous (IV) solutions; infusion systems and devices; parenteral nutrition therapies; generic injectable pharmaceuticals; surgical hemostat and sealant products, advanced surgical equipment; smart bed systems; patient monitoring and diagnostic technologies; and respiratory health devices, as well as advanced equipment for the surgical space, including surgical video technologies, precision positioning devices, and other accessories. It also provides administrative sets; adhesion prevention products; inhaled anesthesia; drug compounding; chronic and acute dialysis therapies and services, including peritoneal dialysis (PD), hemodialysis (HD), continuous renal replacement therapies (CRRT), and other organ support therapies. The company's products are used in hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, ambulatory surgery centers, doctors' offices, and patients at home under physician supervision. The company sells its products through direct sales force, as well as through independent distributors, drug wholesalers, and specialty pharmacy or other alternate site providers in approximately 100 countries. It has an agreement with Celerity Pharmaceutical, LLC to develop acute care generic injectable premix and oncolytic products; and a collaborative research agreement with Miromatrix Medical Inc. aiming to advance care for patients with acute liver failure. Baxter International Inc. was incorporated in 1931 and is headquartered in Deerfield, Illinois.",14812999680,0.614,6,"{'Close': {0: 38.689998626708984, 1: 38.84000015258789, 2: 38.599998474121094, 3: 38.720001220703125, 4: 38.41999816894531, 5: 37.880001068115234, 6: 38.9900016784668, 7: 38.790000915527344, 8: 39.08000183105469, 9: 38.70000076293945, 10: 38.689998626708984, 11: 39.189998626708984, 12: 38.97999954223633, 13: 38.529998779296875, 14: 39.709999084472656, 15: 39.380001068115234, 16: 40.459999084472656, 17: 39.54999923706055, 18: 40.310001373291016, 19: 39.619998931884766, 20: 39.63999938964844, 21: 40.939998626708984, 22: 41.220001220703125}}",No,73.0,87.0,77.0,62.0,environmentScore,socialScore,,,,
BDX,"Becton, Dickinson and Company","Becton, Dickinson and Company","Becton, Dickinson and Company develops, manufactures, and sells medical supplies, devices, laboratory equipment, and diagnostic products for healthcare institutions, physicians, life science researchers, clinical laboratories, pharmaceutical industry, and the general public worldwide. The company operates in three segments: BD Medical, BD Life Sciences, and BD Interventional. The BD Medical segment provides peripheral intravenous (IV) and advanced peripheral catheters, central lines, acute dialysis catheters, vascular access technology, vascular care and preparation products, needle-free IV connectors and extensions sets, closed-system drug transfer devices, hazardous drug detections, hypodermic syringes and needles, anesthesia needles and trays, enteral syringes, and sharps disposal systems; IV medication safety and infusion therapy delivery systems, medication compounding workflow systems, automated medication dispensing and supply management systems, and medication inventory optimization and tracking systems; and prefillable drug delivery systems. The BD Life Sciences segment offers specimen and blood collection products; automated blood and tuberculosis culturing, molecular testing, microorganism identification and drug susceptibility, and liquid-based cytology systems, as well as rapid diagnostic assays, microbiology laboratory automation products, and plated media products; and fluorescence-activated cell sorters and analyzers, antibodies and kits, reagent systems, and solutions for single-cell gene expression analysis, as well as clinical oncology, immunological, and transplantation diagnostic/monitoring reagents and analyzers. The BD Interventional segment provides hernia and soft tissue repair, biological and bioresorbable grafts, biosurgery, and other surgical products; surgical infection prevention; peripheral intervention products; and urology and critical care products. The company was founded in 1897 and is headquartered in Franklin Lakes, New Jersey.",19491999744,0.452,10,"{'Close': {0: 234.3000030517578, 1: 235.0, 2: 235.88999938964844, 3: 235.88999938964844, 4: 238.3000030517578, 5: 234.57000732421875, 6: 236.57000732421875, 7: 236.64999389648438, 8: 237.85000610351562, 9: 236.2100067138672, 10: 238.80999755859375, 11: 242.35000610351562, 12: 237.19000244140625, 13: 235.07000732421875, 14: 238.67999267578125, 15: 239.47999572753906, 16: 240.7100067138672, 17: 243.75, 18: 243.3699951171875, 19: 239.07000732421875, 20: 238.61000061035156, 21: 239.9600067138672, 22: 240.75999450683594}}",No,69.0,85.0,63.0,64.0,environmentScore,governanceScore,,,,
BRK.B,N/A,N/A,N/A,N/A,N/A,N/A,{'Close': {}},N/A,N/A,N/A,N/A,N/A,socialScore,socialScore,N/A,N/A,N/A,N/A
BBY,"Best Buy Co., Inc.","Best Buy Co., Inc.","Best Buy Co., Inc. engages in the retail of technology products in the United States and Canada. The company operates in two segments, Domestic and International. Its stores provide computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets covering e-readers; smartwatches; and consumer electronics consisting of digital imaging, health and fitness products, home theater, portable audio comprising headphones and portable speakers, and smart home products.  The company's stores also offer appliances, such as dishwashers, laundry, ovens, refrigerators, blenders, coffee makers, and vacuums; entertainment products consisting of drones, peripherals, movies, music, and toys, as well as gaming hardware and software, and virtual reality and other software products; and other products, such as baby, food and beverage, luggage, outdoor living, and sporting goods. In addition, it provides consultation, delivery, design, installation, memberships, repair, set-up, technical support, health-related, and warranty-related services. The company offers its products through stores and websites under the Best Buy, Best Buy Ads, Best Buy Business, Best Buy Health, Buy Mobile, CST, Current Health, Geek Squad, Lively, Magnolia, Pacific Kitchen, Home, TechLiquidators, and Yardbird brands, as well as domain names comprising bestbuy.com, currenthealth.com, lively.com, techliquidators.com, yardbird.com, and bestbuy.ca. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota.",43541000192,1.511,1,"{'Close': {0: 71.13999938964844, 1: 70.94000244140625, 2: 71.0, 3: 73.48999786376953, 4: 73.06999969482422, 5: 73.33000183105469, 6: 75.20999908447266, 7: 74.81999969482422, 8: 73.33999633789062, 9: 73.31999969482422, 10: 72.48999786376953, 11: 75.23999786376953, 12: 75.69000244140625, 13: 74.20999908447266, 14: 74.83999633789062, 15: 75.4800033569336, 16: 75.48999786376953, 17: 75.5999984741211, 18: 75.91999816894531, 19: 72.9000015258789, 20: 74.5999984741211, 21: 74.6500015258789, 22: 73.75}}",No,75.0,80.0,71.0,74.0,environmentScore,governanceScore,,,,
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc. manufactures and distributes life science research and clinical diagnostic products in the United States, Europe, Asia, Canada, and Latin America. It operates through two segments, Life Science and Clinical Diagnostics. The company develops, manufactures, and markets instruments, systems, reagents, and consumables to separate, purify, characterize, and quantitate biological materials such as cells, proteins, and nucleic acids for proteomics, genomics, biopharmaceutical production, cellular biology, and food safety markets. It also designs, manufactures, markets, and supports test systems, informatics systems, test kits, and specialized quality controls for hospitals, diagnostic reference, transfusion, and physician office laboratories. The company offers its products through its direct sales force, as well as through distributors, agents, brokers, and resellers. Bio-Rad Laboratories, Inc. was founded in 1952 and is headquartered in Hercules, California.",2671261952,0.886,10,"{'Close': {0: 304.1199951171875, 1: 304.1099853515625, 2: 306.6199951171875, 3: 312.8399963378906, 4: 315.25, 5: 316.55999755859375, 6: 316.29998779296875, 7: 329.04998779296875, 8: 330.0400085449219, 9: 332.4100036621094, 10: 320.8900146484375, 11: 328.9599914550781, 12: 320.42999267578125, 13: 318.7200012207031, 14: 325.010009765625, 15: 325.1600036621094, 16: 326.1099853515625, 17: 325.2200012207031, 18: 326.30999755859375, 19: 316.1000061035156, 20: 327.9100036621094, 21: 328.7300109863281, 22: 340.5199890136719}}",No,50.0,49.0,58.0,44.0,governanceScore,socialScore,,,,
TECH,Bio-Techne Corp,Bio-Techne Corporation,"Bio-Techne Corporation, together with its subsidiaries, develops, manufactures, and sells life science reagents, instruments, and services for the research and clinical diagnostic markets in the United States, the United Kingdom, rest of Europe, Middle East, and Africa, Greater China, rest of Asia-Pacific, and internationally. The company operates through two segments, Protein Sciences, and Diagnostics and Genomics. The Protein Sciences segment develops and manufactures biological reagents used in various aspects of life science research, diagnostics, and cell and gene therapy, such as cytokines and growth factors, antibodies, small molecules, tissue culture sera, and cell selection technologies. This segment also offers proteomic analytical tools for automated western blot and multiplexed ELISA workflow consists of manual and automated protein analysis instruments and immunoassays for use in quantifying proteins in various biological fluids. The Diagnostics and Genomics segment develops and manufactures diagnostic products, including controls, calibrators, and diagnostic assays for regulated diagnostics market, exosome-based molecular diagnostic assays, advanced tissue-based in-situ hybridization assays for spatial genomic and tissue biopsy analysis, and genetic and oncology kits for research and clinical applications; and sells products for genetic carrier screening, oncology diagnostics, molecular controls, and research, as well as instruments and process control products for hematology, blood chemistry and gases, and coagulation controls and reagents used in various diagnostic applications. The company was formerly known as Techne Corporation and changed its name to Bio-Techne Corporation in November 2014. Bio-Techne Corporation was incorporated in 1976 and is headquartered in Minneapolis, Minnesota.",1144999040,1.236,10,"{'Close': {0: 69.75780487060547, 1: 69.77778625488281, 2: 70.23724365234375, 3: 71.93524169921875, 4: 72.39470672607422, 5: 70.97637176513672, 6: 71.03630828857422, 7: 72.54452514648438, 8: 72.69435119628906, 9: 72.62442779541016, 10: 70.23724365234375, 11: 68.45934295654297, 12: 65.90235900878906, 13: 66.69142150878906, 14: 67.29071807861328, 15: 66.28190612792969, 16: 67.9000015258789, 17: 67.94999694824219, 18: 69.94999694824219, 19: 67.5199966430664, 20: 70.12000274658203, 21: 71.26000213623047, 22: 71.61000061035156}}",N/A,55.14,56.91,48.83,56.35,environmentScore,governanceScore,N/A,N/A,N/A,N/A
BIIB,Biogen Inc.,Biogen Inc.,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and neurodegenerative diseases in the United States, Europe, Germany, Asia, and internationally. The company provides TECFIDERA, VUMERITY, AVONEX, PLEGRIDY, TYSABRI, and FAMPYRA for multiple sclerosis (MS); SPINRAZA for spinal muscular atrophy; ADUHELM to treat Alzheimer's disease; FUMADERM to treat plaque psoriasis; BENEPALI, an etanercept biosimilar referencing ENBREL; IMRALDI, an adalimumab biosimilar referencing HUMIRA; FLIXABI, an infliximab biosimilar referencing REMICADE; and BYOOVIZ, a ranibizumab biosimilar referencing LUCENTIS. It offers RITUXAN for treating non-Hodgkin's lymphoma, chronic lymphocytic leukemia (CLL), rheumatoid arthritis, two forms of ANCA-associated vasculitis, and pemphigus vulgaris; RITUXAN HYCELA for non-Hodgkin's lymphoma and CLL; GAZYVA to treat CLL and follicular lymphoma; OCREVUS for relapsing MS and primary progressive MS; LUNSUMIO to treat relapsed or refractory follicular lymphoma; glofitamab for non-Hodgkin's lymphoma; and other anti-CD20 therapies. In addition, the company is developing various products for the treatment of MS, Alzheimer's disease and dementia, neuromuscular disorders, Parkinson's disease and movement disorders, neuropsychiatry, genetic neurodevelopmental disorders, and biosimilars, which are under various stages of development. It has collaboration and license agreements with Acorda Therapeutics, Inc.; Alkermes Pharma Ireland Limited; Denali Therapeutics Inc.; Eisai Co., Ltd.; Genentech, Inc.; Neurimmune SubOne AG; Ionis Pharmaceuticals, Inc.; Samsung Bioepis Co., Ltd.; Sangamo Therapeutics, Inc.; and Sage Therapeutics, Inc. The company was founded in 1978 and is headquartered in Cambridge, Massachusetts.",9835599872,0.003,6,"{'Close': {0: 245.27000427246094, 1: 246.97000122070312, 2: 249.9600067138672, 3: 248.3000030517578, 4: 251.67999267578125, 5: 247.16000366210938, 6: 246.2100067138672, 7: 244.82000732421875, 8: 247.52000427246094, 9: 247.0800018310547, 10: 246.66000366210938, 11: 247.8300018310547, 12: 243.72000122070312, 13: 241.83999633789062, 14: 245.5500030517578, 15: 240.5399932861328, 16: 240.3000030517578, 17: 240.97999572753906, 18: 244.74000549316406, 19: 226.64999389648438, 20: 220.74000549316406, 21: 223.35000610351562, 22: 219.0800018310547}}",No,71.0,78.0,78.0,63.0,governanceScore,socialScore,,,,
BLK,"BlackRock, Inc.","BlackRock, Inc.","BlackRock, Inc. is a publicly owned investment manager. The firm primarily provides its services to institutional, intermediary, and individual investors including corporate, public, union, and industry pension plans, insurance companies, third-party mutual funds, endowments, public institutions, governments, foundations, charities, sovereign wealth funds, corporations, official institutions, and banks. It also provides global risk management and advisory services. The firm manages separate client-focused equity, fixed income, and balanced portfolios. It also launches and manages open-end and closed-end mutual funds, offshore funds, unit trusts, and alternative investment vehicles including structured funds. The firm launches equity, fixed income, balanced, and real estate mutual funds. It also launches equity, fixed income, balanced, currency, commodity, and multi-asset exchange traded funds. The firm also launches and manages hedge funds. It invests in the public equity, fixed income, real estate, currency, commodity, and alternative markets across the globe. The firm primarily invests in growth and value stocks of small-cap, mid-cap, SMID-cap, large-cap, and multi-cap companies. It also invests in dividend-paying equity securities. The firm invests in investment grade municipal securities, government securities including securities issued or guaranteed by a government or a government agency or instrumentality, corporate bonds, and asset-backed and mortgage-backed securities. It employs fundamental and quantitative analysis with a focus on bottom-up and top-down approach to make its investments. The firm employs liquidity, asset allocation, balanced, real estate, and alternative strategies to make its investments. In real estate sector, it seeks to invest in Poland and Germany. The firm benchmarks the performance of its portfolios against various S&P, Russell, Barclays, MSCI, Citigroup, and Merrill Lynch indices. BlackRock, Inc. was founded in 1988 and is based in New York City with additional offices in Boston, Massachusetts; London, United Kingdom; Gurgaon, India; Hong Kong; Greenwich, Connecticut; Princeton, New Jersey; Edinburgh, United Kingdom; Sydney, Australia; Taipei, Taiwan; Singapore; Sao Paulo, Brazil; Philadelphia, Pennsylvania; Washington, District of Columbia; Toronto, Canada; Wilmington, Delaware; and San Francisco, California.",17859000320,1.392,4,"{'Close': {0: 787.4299926757812, 1: 795.260009765625, 2: 805.4400024414062, 3: 794.02001953125, 4: 792.5599975585938, 5: 785.75, 6: 790.4600219726562, 7: 787.2999877929688, 8: 788.7000122070312, 9: 781.72998046875, 10: 774.3099975585938, 11: 784.9299926757812, 12: 788.0, 13: 783.1699829101562, 14: 787.97998046875, 15: 794.7000122070312, 16: 793.2000122070312, 17: 797.2100219726562, 18: 801.760009765625, 19: 778.0700073242188, 20: 785.4000244140625, 21: 798.0499877929688, 22: 794.0}}",No,61.0,62.0,66.0,54.0,governanceScore,socialScore,,,,
BX,Blackstone Inc.,Blackstone Inc.,"Blackstone Inc. is an alternative asset management firm specializing in real estate, private equity, hedge fund solutions, credit, secondary funds of funds, public debt and equity and multi-asset class strategies. The firm typically invests in early-stage companies. It also provide capital markets services. The real estate segment specializes in opportunistic, core+ investments as well as debt investment opportunities collateralized by commercial real estate, and stabilized income-oriented commercial real estate across North America, Europe and Asia. The firm's corporate private equity business pursues transactions throughout the world across a variety of transaction types, including large buyouts,special situations, distressed mortgage loans, mid-cap buyouts, buy and build platforms, which involves multiple acquisitions behind a single management team and platform, and growth equity/development projects involving significant majority stakes in portfolio companies and minority investments in operating companies, shipping, real estate, corporate or consumer loans, and alternative energy greenfield development projects in energy and power, property, dislocated markets, shipping opportunities, financial institution breakups, re-insurance, and improving freight mobility, financial services, healthcare, life sciences, infrastructure, enterprise tech and consumer, as well as consumer technologies. The firm considers investment in Asia and Latin America. It has a three year investment period. Its hedge fund business manages a broad range of commingled and customized fund solutions and its credit business focuses on loans, and securities of non-investment grade companies spread across the capital structure including senior debt, subordinated debt, preferred stock and common equity. Blackstone Inc. was founded in 1985 and is headquartered in New York, New York with additional offices across Asia, Europe, North America and Central America.",7683901952,1.507,10,"{'Close': {0: 116.0953598022461, 1: 116.20452117919922, 2: 118.17948150634766, 3: 120.05518341064453, 4: 118.08023834228516, 5: 119.7177505493164, 6: 122.55612182617188, 7: 123.62796020507812, 8: 126.86331176757812, 9: 126.23806762695312, 10: 123.50886535644531, 11: 123.36000061035156, 12: 124.36000061035156, 13: 121.25, 14: 123.55999755859375, 15: 126.08999633789062, 16: 127.83999633789062, 17: 127.68000030517578, 18: 130.0800018310547, 19: 124.94999694824219, 20: 127.94999694824219, 21: 130.25, 22: 127.88999938964844}}",No,54.0,47.0,49.0,66.0,socialScore,environmentScore,,,,
BA,Boeing Company (The),The Boeing Company,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through Commercial Airplanes; Defense, Space & Security; and Global Services segments. The Commercial Airplanes segment develops, produces, and markets commercial jet aircraft for passenger and cargo requirements, as well as provides fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Company was incorporated in 1916 and is based in Arlington, Virginia.",77794000896,1.558,8,"{'Close': {0: 203.05999755859375, 1: 211.61000061035156, 2: 215.02000427246094, 3: 214.92999267578125, 4: 211.5, 5: 214.1300048828125, 6: 201.8800048828125, 7: 205.47000122070312, 8: 205.19000244140625, 9: 200.44000244140625, 10: 211.0399932861328, 11: 209.80999755859375, 12: 209.3800048828125, 13: 206.6300048828125, 14: 208.5800018310547, 15: 211.9199981689453, 16: 209.22000122070312, 17: 209.1999969482422, 18: 209.3300018310547, 19: 204.4600067138672, 20: 203.3800048828125, 21: 205.3300018310547, 22: 203.88999938964844}}",No,60.0,64.0,64.0,51.0,governanceScore,socialScore,,,,
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,"Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com, which offers online accommodation reservations; Rentalcars.com that provides online rental car reservation services; and Priceline, which offer online travel reservation services, and consumers hotel, flight, and rental car reservation services, as well as vacation packages, cruises, and hotel distribution services. It also operates Agoda that provides online accommodation reservation services, as well as flight, ground transportation and activities reservation services. In addition, the company operates KAYAK, an online meta-search service that allows consumers to search and compare travel itineraries and prices, comprising airline ticket, accommodation reservation, and rental car reservation information; and OpenTable for booking online restaurant reservations. Further, it offers travel-related insurance products, and restaurant management services to consumers, travel service providers, and restaurants; and advertising services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. The company was founded in 1997 and is headquartered in Norwalk, Connecticut.",20629999616,1.411,1,"{'Close': {0: 3489.89990234375, 1: 3528.81005859375, 2: 3616.510009765625, 3: 3506.02001953125, 4: 3490.6201171875, 5: 3496.75, 6: 3503.25, 7: 3519.60009765625, 8: 3553.8798828125, 9: 3555.14990234375, 10: 3507.469970703125, 11: 3558.449951171875, 12: 3561.389892578125, 13: 3625.0, 14: 3644.93994140625, 15: 3708.919921875, 16: 3840.219970703125, 17: 3758.179931640625, 18: 3790.22998046875, 19: 3747.610107421875, 20: 3738.31005859375, 21: 3750.659912109375, 22: 3716.840087890625}}",No,46.38,38.0,56.55,47.37,governanceScore,environmentScore,,,,
BWA,BorgWarner Inc.,BorgWarner Inc.,"BorgWarner Inc., together with its subsidiaries, provides solutions for combustion, hybrid, and electric vehicles worldwide. It offers turbochargers, eBoosters, eTurbos, timing systems, emissions systems, thermal systems, gasoline ignition technology, smart remote actuators, powertrain sensors, cabin heaters, battery modules and systems, battery heaters, and battery charging. The company provides power electronics, control modules, software, friction, and mechanical products for automatic transmissions and torque-management products. It sells its products to original equipment manufacturers of light vehicles, which comprise passenger cars, sport-utility vehicles, vans, and light trucks; commercial vehicles, including medium-duty and heavy-duty trucks, and buses; and off-highway vehicles, such as agricultural and construction machinery, and marine applications, as well as to tier one vehicle systems suppliers and the aftermarket for light, commercial, and off-highway vehicles. The company was formerly known as Borg-Warner Automotive, Inc. BorgWarner Inc. was incorporated in 1987 and is headquartered in Auburn Hills, Michigan.",14197999616,1.31,1,"{'Close': {0: 32.709999084472656, 1: 32.75, 2: 32.869998931884766, 3: 33.220001220703125, 4: 33.45000076293945, 5: 33.27000045776367, 6: 33.790000915527344, 7: 34.13999938964844, 8: 34.27000045776367, 9: 34.41999816894531, 10: 33.900001525878906, 11: 34.47999954223633, 12: 34.09000015258789, 13: 33.47999954223633, 14: 34.06999969482422, 15: 33.83000183105469, 16: 31.479999542236328, 17: 31.799999237060547, 18: 32.31999969482422, 19: 31.049999237060547, 20: 31.139999389648438, 21: 31.489999771118164, 22: 30.610000610351562}}",No,63.0,69.0,62.0,58.0,environmentScore,socialScore,,,,
BXP,"Boston Properties, Inc.","Boston Properties, Inc.","Boston Properties, Inc. (NYSE: BXP) (BXP or the Company) is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets - Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 50 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). Including properties owned by joint ventures, BXP's portfolio totals 53.3 million square feet and 188 properties, including 10 properties under construction/redevelopment. BXP's properties include 167 office properties, 14 retail properties (including two retail properties under construction/redevelopment), six residential properties (including one residential property under construction) and one hotel. BXP is well-known for its inhouse building management expertise and responsiveness to clients' needs. BXP holds a superior track record of developing premium Central Business District (CBD) office buildings, successful mixed-use complexes, suburban office centers and build-to-suit projects for a diverse array of creditworthy clients. BXP actively works to promote its growth and operations in a sustainable and responsible manner. BXP has earned a twelfth consecutive GRESB Green Star recognition and the highest GRESB 5-star Rating. BXP, an S&P 500 company, was founded in 1970 by Mortimer B. Zuckerman and Edward H. Linde and became a public company in 1997.",2986475008,1.181,8,"{'Close': {0: 66.91999816894531, 1: 66.5, 2: 68.33000183105469, 3: 69.69999694824219, 4: 70.48999786376953, 5: 70.45999908447266, 6: 71.5, 7: 71.19999694824219, 8: 72.20999908447266, 9: 70.0, 10: 66.5, 11: 65.29000091552734, 12: 63.689998626708984, 13: 62.650001525878906, 14: 63.310001373291016, 15: 63.77000045776367, 16: 65.06999969482422, 17: 64.18000030517578, 18: 65.44000244140625, 19: 62.540000915527344, 20: 63.220001220703125, 21: 66.70999908447266, 22: 67.36000061035156}}",No,62.0,72.0,62.0,50.0,environmentScore,socialScore,,,,
